Section,BAT ID,Object,Redshift,D,Opt. class,Nuc. morph.,F_nu(N-band),F_nu(Q-band),d_unr,R_AS,R_tot
,,,,(Mpc),,,(mJy),(mJy),(pc),,
\ref{app:IC1459},,IC 1459,0.0060,30.3,L,?,17,,44,0.75,0.138
\ref{app:IC3639},,IC 3639,0.0109,53.6,2,-,386,,84.6,1.00,0.536
\ref{app:IC4329A},108,IC 4329A,0.0161,76.5,1.2,o,1158,2220,114,1.01,1.043
\ref{app:IC4518W},,IC 4518W,0.0163,76.1,2,o,199,,196,0.71,0.554
\ref{app:IC5063},138,IC 5063,0.0113,49.1,2,ellip.,821,1850,82,0.74,0.739
\ref{app:IIIZW035N},,III Zw 35N,0.0277,121.0,Cp,o,53,,257,0.56,0.379
\ref{app:IRAS00188-0856},,IRAS 00188-0856,0.1284,620.0,Cp*,?,64,136,1485,0.95,0.551
\ref{app:IRAS01003-2238},,IRAS 01003-2238,0.1178,565.0,2,?,215,402,1287,1.09,0.947
\ref{app:IRAS04103-2838},,IRAS 04103-2838,0.1175,567.0,2,o,133,357,1398,0.97,1.773
\ref{app:IRAS05189-2524},,IRAS 05189-2524,0.0426,196.0,2,o,651,,359,1.01,0.880
\ref{app:IRAS08572+3915},,IRAS 08572+3915,0.0584,275.0,Cp*,o,602,1007,744,0.83,1.825
\ref{app:IRAS09149-6206},,IRAS 09149-6206,0.0573,269.0,1,-,465,,331,0.94,0.979
\ref{app:IRAS11095-0238},,IRAS 11095-0238,0.1066,519.0,Cp:*,?,84,,1081,0.76,0.619
\ref{app:IRAS13349+2438},,IRAS 13349+2438,0.1076,522.0,1n,?,476,,893,0.97,0.755
\ref{app:IRAS15250+3609},,IRAS 15250+3609,0.0552,258.0,Cp:*,?,217,555,620,0.88,1.359
\ref{app:IZW001},,I Zw 1,0.0589,269.0,1n,?,426,,368,1.01,0.832
\ref{app:LEDA013946},27,LEDA 13946,0.0365,166.0,2,?,12,,266,0.74,
\ref{app:LEDA170194},96,LEDA 170194,0.0367,173.0,2,-,42,,288,,
\ref{app:LEDA178130},36,LEDA 178130,0.0350,160.0,2,o,52,,284,0.89,
\ref{app:LEDA549777},53,LEDA 549777,0.0610,284.1,2,?,33,,887,,
\ref{app:M051A},,M51a,0.0015,8.1,2,o,26,,22.8,0.26,0.004
\ref{app:M081},,M81,-1.0E-4,3.6,L,?,137,193,7.69,0.76,0.023
\ref{app:M087},,M87,0.0044,16.7,L,-,21,46,25.9,0.74,0.095
\ref{app:MCG-01-05-047},,MCG-1-5-47,0.0172,73.4,2,?,53,,92.2,0.45,0.340
\ref{app:MCG-01-13-025},34,MCG-1-13-25,0.0159,71.2,1.2,o,25,,100,0.84,
\ref{app:MCG-01-24-012},65,MCG-1-24-12,0.0196,93.8,2,-,111,,129,1.10,1.383
\ref{app:MCG-02-08-014},,MCG-2-8-14,0.0168,72.5,2,?,44,,107,,0.623
\ref{app:MCG-02-08-039},,MCG-2-8-39,0.0299,133.0,2,-,231,369,356,1.20,1.154
\ref{app:MCG-03-34-064},103,MCG-3-34-64,0.0165,79.3,1.8/2,ellip.,531,,116,0.66,0.564
\ref{app:MCG-05-23-016},69,MCG-5-23-16,0.0085,42.8,1.9,-,714,1457,60.3,1.02,
\ref{app:MCG-06-30-015},105,MCG-6-30-15,0.0077,38.8,1.5,o,341,,48.9,0.91,0.897
\ref{app:MR2251-178},151,MR 2251-178,0.0640,293.0,1.5,?,90,,388,0.97,0.595
\ref{app:Mrk0003},50,Mrk 3,0.0135,60.6,2,o,448,,137,0.84,
\ref{app:Mrk0266NE},,Mrk 266NE,0.0280,130.0,Cp*,o,20,,428,0.21,0.062
\ref{app:Mrk0266SW},,Mrk 266SW,0.0276,128.0,2,ellip.,6,,421,0.04,0.018
\ref{app:Mrk0304},,Mrk 304,0.0658,301.0,1,o,52,,511,0.86,0.851
\ref{app:Mrk0509},137,Mrk 509,0.0344,153.0,1.5,-,256,463,269,0.84,0.855
\ref{app:Mrk0520},144,Mrk 520,0.0266,115.0,Cp,o,86,,196,0.57,0.452
\ref{app:Mrk0573},,Mrk 573,0.0172,73.1,2,?,212,271,193,0.74,0.758
\ref{app:Mrk0590},12,Mrk 590,0.0264,116.0,1,-,98,,164,1.03,0.511
\ref{app:Mrk0841},116,Mrk 841,0.0364,170.0,1.5,o,163,,236,0.87,0.851
\ref{app:Mrk0897},,Mrk 897,0.0263,115.0,Cp,circ.,8,,214,0.07,
\ref{app:Mrk0915},,Mrk 915,0.0241,104.0,1.9,?,85,201,276,1.01,0.483
\ref{app:Mrk0926},153,Mrk 926,0.0469,210.0,1.5,o,107,,287,0.65,
\ref{app:Mrk0937},,Mrk 937,0.0295,129.0,1,?,15,,175,,0.103
\ref{app:Mrk1014},,Mrk 1014,0.1631,807.0,1.5,o,99,,1187,0.87,0.809
\ref{app:Mrk1018},10,Mrk 1018,0.0424,191.0,1,-,53,,267,1.05,
\ref{app:Mrk1239},,Mrk 1239,0.0199,95.4,1n,o,574,916,142,1.02,0.884
\ref{app:NGC0034},,NGC 34,0.0196,83.5,2,ellip.,58,,158,0.22,0.165
\ref{app:NGC0235A},1,NGC 235A,0.0222,96.2,2,o,73,,158,0.59,
\ref{app:NGC0253},,NGC 253,8.0E-4,3.2,Cp:*,comp.,1039,2093,5.57,0.21,0.025
\ref{app:NGC0424},,NGC 424,0.0118,49.5,2,o,736,,80.4,0.87,0.669
\ref{app:NGC0454E},4,NGC 454E,0.0121,52.3,2,o,137,,91.2,0.78,
\ref{app:NGC0526A},6,NGC 526A,0.0191,82.8,1.9,-,236,,130,1.03,1.028
\ref{app:NGC0612},7,NGC 612,0.0298,132.0,2,?,33,,270,0.52,0.166
\ref{app:NGC0613},,NGC 613,0.0049,26.6,Cp*,?,28,,47.6,0.06,0.012
\ref{app:NGC0676},,NGC 676,0.0050,19.5,2,?,17,,28.8,,0.471
\ref{app:NGC0788},9,NGC 788,0.0136,57.2,2,-,134,,88.2,1.13,0.715
\ref{app:NGC0985},16,NGC 985,0.0431,195.0,1.5,-,180,,322,1.10,0.866
