Object,D,F_nu(N-band),d_unr,Angular size
NGC 1052,19.4,138,31.7,337.04094629028344
NGC 1068,14.4,10206,24.1,345.20707156624036
NGC 1097,17.0,17,27.1,328.81036760559573
NGC 1144,128.0,25,185.0,298.1171027789545
NGC 1194,58.2,277,87.0,308.3339887198288
NGC 1275,76.8,917,129.0,346.46041674308816
NGC 1365,17.9,361,29.8,343.3905712939693
NGC 1386,16.5,299,31.4,392.52817673678
NGC 1433,8.3,8,15.9,395.1337854611842
NGC 1553,16.4,27,52.6,661.556634669998
NGC 1566,14.3,59,18.4,265.403666779444
NGC 1614,71.0,346,130.0,377.66795510021166
NGC 1667,67.8,6,127.0,386.3662299907607
NGC 1808,12.3,329,38.2,640.5947641164835
NGC 2110,35.9,318,53.7,308.53537870381643
NGC 2623,87.3,178,257.0,607.2171272103719
NGC 2992,39.7,191,63.2,328.3611021363661
NGC 3081,40.9,162,62.3,314.188201202729
NGC 3094,40.8,1023,79.1,399.8908376014757
NGC 3147,30.1,19,78.4,537.2478674339937
NGC 3166,25.3,6,60.8,495.6877557240087
NGC 3169,18.7,8,31.0,341.93630982131134
NGC 3185,20.3,31,50.5,513.1218086439898
NGC 3227,22.1,201,27.4,255.73102674976084
NGC 3281,52.8,486,78.2,305.4906789492422
NGC 3312,48.4,8,71.2,303.430871999806
NGC 3368,10.6,15,21.1,410.5837180954996
NGC 3379,10.6,3,15.6,303.55952617491715
NGC 3393,61.6,67,77.0,257.83100780883683
NGC 3486,13.7,5,28.1,423.0686901855018
NGC 3521,11.5,10,19.1,342.57893907118563
NGC 3607,21.4,14,49.3,475.1801377559509
NGC 3623,12.8,17,24.5,394.80373070721225
NGC 3627,10.1,13,25.1,512.598676910837
NGC 3628,12.2,10,22.9,387.1691854964851
NGC 3660,60.8,26,127.0,430.84918410150846
NGC 3690E,49.1,280,126.0,529.3149814077368
NGC 3690W,48.2,773,124.0,530.6397505109095
NGC 3718,17.0,22,35.0,424.66283639093064
NGC 3783,48.4,682,59.5,253.56933825827866
NGC 3982,21.4,27,46.0,443.3729480076065
NGC 3998,14.1,71,24.0,351.08903190986643
NGC 4051,12.2,464,27.0,456.48768595650233
NGC 4074,107.0,68,170.0,327.71043983176634
NGC 4111,15.0,4,37.9,521.1624104507194
NGC 4138,13.8,21,30.5,455.87511525607806
NGC 4151,13.3,1287,29.8,462.15723504969174
NGC 4235,41.2,36,65.3,326.91970504690704
NGC 4258,7.6,107,14.5,393.5315382344723
NGC 4261,31.7,13,48.1,312.9759362928527
NGC 4278,16.1,3,30.7,393.31239452074146
NGC 4303,15.2,6,25.9,351.46437380253303
NGC 4374,17.1,8,29.5,355.83694644958086
NGC 4388,19.2,188,33.1,355.59193160297906
NGC 4395,4.3,10,8.73,418.76552524105404
NGC 4418,37.8,1427,58.7,320.3106911825958
NGC 4438,13.7,10,30.5,459.2026708418861
NGC 4457,17.4,6,33.9,401.86074320542264
NGC 4472,17.1,9,29.2,352.21826563823095
NGC 4501,17.9,4,36.4,419.4435166140625
NGC 4507,57.5,623,90.7,325.36031176709145
NGC 4579,16.8,75,25.6,314.30827618599074
NGC 4593,45.6,227,61.1,276.37674696701094
NGC 4594,9.1,4,14.4,326.39705603929315
